account_id,name,industry,employee_count,arr,region,owner_id,created_at
1,Elevate Networks,Retail,223,33631,LATAM,13,2020-07-24T00:00:00
2,Fusion Networks,Energy,185,38805,LATAM,4,2020-01-29T00:00:00
3,Synergy Solutions,Financial Services,107,9065,APAC,10,2020-01-20T00:00:00
4,Vanguard Platforms,Government,47,27257,LATAM,5,2023-12-23T00:00:00
5,Optima Platforms,Technology,834,131064,APAC,7,2022-10-14T00:00:00
6,Nova Holdings,Retail,128,15450,LATAM,1,2024-05-14T00:00:00
7,Catalyst Platforms,Transportation,90,26755,North America,4,2021-03-01T00:00:00
8,Optima Networks,Education,48860,137899,North America,3,2024-03-28T00:00:00
9,Apex Networks,Government,10860,850349,APAC,12,2023-09-04T00:00:00
10,Pacific Corp,Retail,128,1732,EMEA,13,2022-09-05T00:00:00
11,Velocity Partners,Financial Services,33452,598436,APAC,7,2020-10-27T00:00:00
12,Nexus Software,Manufacturing,33331,142027,North America,13,2022-08-04T00:00:00
13,Zenith Technologies,Financial Services,451,67087,North America,10,2023-11-26T00:00:00
14,Pacific Enterprises,Media & Entertainment,115,24809,APAC,7,2024-02-05T00:00:00
15,Nexus Inc,Energy,172,15091,EMEA,6,2022-07-21T00:00:00
16,Horizon Digital,Retail,,161545,LATAM,6,2020-01-07T00:00:00
17,Pacific Labs,Professional Services,651,133327,North America,5,2022-09-06T00:00:00
18,Velocity Digital,Financial Services,141,3399,APAC,2,2021-01-31T00:00:00
19,Acme Group,Retail,124,33613,EMEA,7,2023-02-24T00:00:00
20,Atlas Dynamics,Transportation,118,31533,APAC,5,2021-05-23T00:00:00
21,Vanguard Holdings,Energy,815,157317,APAC,6,2022-10-28T00:00:00
22,Atlas Enterprises,Healthcare,1405,232646,North America,1,2022-10-05T00:00:00
23,Pacific Software,Financial Services,77,47575,LATAM,6,2020-06-12T00:00:00
24,Quantum Systems,Media & Entertainment,1350,28329,North America,15,2024-11-22T00:00:00
25,Apex Solutions,Financial Services,137,23677,North America,14,2023-04-27T00:00:00
26,Acme Inc,Manufacturing,51,22054,APAC,13,2024-01-17T00:00:00
27,Elevate Group,Transportation,23826,1349602,North America,5,2024-02-20T00:00:00
28,Zenith Technologies,Manufacturing,167,1025,,11,2020-02-09T00:00:00
29,Optima Platforms,Professional Services,70,47859,APAC,14,2023-08-07T00:00:00
30,Fusion Networks,Manufacturing,162,20978,North America,7,2024-04-17T00:00:00
31,Atlas Technologies,Financial Services,25,39957,North America,14,2020-08-08T00:00:00
32,Nexus Networks,Transportation,92,47292,APAC,4,2020-12-02T00:00:00
33,Horizon Holdings,Media & Entertainment,23,36310,APAC,7,2021-03-17T00:00:00
34,Zenith Analytics,Manufacturing,42,2853,APAC,5,2021-10-18T00:00:00
35,Pinnacle Partners,,12,3106,APAC,13,2021-04-15T00:00:00
36,Apex Solutions,Media & Entertainment,54,8117,LATAM,3,2024-01-25T00:00:00
37,Elevate Labs,Media & Entertainment,909,31302,,9,2023-06-14T00:00:00
38,Elevate Corp,Telecommunications,616,55248,LATAM,13,2020-03-25T00:00:00
39,Acme Software,Media & Entertainment,1689,171018,EMEA,2,2024-05-07T00:00:00
40,Apex Dynamics,Media & Entertainment,44376,1506803,EMEA,3,2020-08-02T00:00:00
41,Nexus Corp,Financial Services,1998,247345,APAC,13,2021-04-15T00:00:00
42,Fusion Solutions,Technology,903,31206,EMEA,1,2024-09-10T00:00:00
43,Velocity Corp,Energy,27,29487,APAC,2,2022-09-01T00:00:00
44,Apex Inc,Financial Services,1909,42773,LATAM,5,2023-03-18T00:00:00
45,Quantum Software,,1803,119772,APAC,11,2022-09-03T00:00:00
46,Vanguard Holdings,Transportation,65,34231,North America,12,2023-02-25T00:00:00
47,Synergy Partners,Technology,38,34573,EMEA,15,2024-03-23T00:00:00
48,Vertex Inc,Retail,13837,1459049,LATAM,3,2022-09-24T00:00:00
