tracker_id,call_id,tracker_name,tracker_category,mention_count
1,1,Risk - Champion Leaving,Risk,6
2,2,Procurement Process Started,Buying Signal,1
3,2,Technical - Data Migration Plan,Technical,4
4,2,Objection - Need More Stakeholder Buy-in,Objection,4
5,2,Security - GDPR Compliance,Security,2
6,5,Competitor - CompetitorD,Competitor,4
7,5,Competitor - CompetitorE,Competitor,4
8,5,Pricing - Volume Discount,Pricing,5
9,5,Budget - Approved,Budget,5
10,5,Risk - Champion Leaving,Risk,2
11,5,Risk - Competitor Evaluation,Risk,2
12,5,Security - SOC2 Compliance,Security,4
13,6,Competitor - CompetitorB,Competitor,5
14,6,POC Requested,Buying Signal,6
15,6,Risk - Competitor Evaluation,Risk,8
16,6,Budget - Freeze Mentioned,Budget,4
17,6,Discount - Competitive Match,Discount,-7
18,7,Technical - Custom Workflow Needs,Technical,5
19,7,Discount - Competitive Match,Discount,8
20,7,Reference Call Requested,Buying Signal,6
21,7,Objection - Need More Stakeholder Buy-in,Objection,-2
22,9,Competitor - CompetitorE,Competitor,1
23,9,Pricing - Requested Quote,Pricing,2
24,9,Pricing - Too Expensive Objection,Pricing,4
25,9,Discount - End of Quarter,Discount,2
26,9,Discount - Multi-Year Ask,Discount,5
27,11,Pricing - Volume Discount,Pricing,3
28,11,Decision Timeline Confirmed,Buying Signal,8
29,12,Competitor - Open Source Alternative,Competitor,6
30,12,Pricing - Requested Quote,Pricing,6
31,12,Risk - Delayed Timeline,Risk,2
32,13,Discount - Multi-Year Ask,Discount,6
33,13,Technical - Custom Workflow Needs,Technical,8
34,13,Risk - Competitor Evaluation,Risk,8
35,13,Pricing - Requested Quote,Pricing,6
36,14,Risk - Champion Leaving,Risk,6
37,14,Risk - No Decision Likely,Risk,8
38,14,Security - Data Residency,Security,7
39,14,Budget - Reallocating Funds,Budget,1
40,15,,,7
41,15,,,8
42,15,Discount - End of Quarter,Discount,8
43,16,Discount - Multi-Year Ask,Discount,5
44,16,Reference Call Requested,Buying Signal,6
45,16,Pricing - Requested Quote,Pricing,6
46,16,Objection - Need More Stakeholder Buy-in,Objection,3
47,16,Competitor - CompetitorC,Competitor,3
48,18,Security - GDPR Compliance,Security,8
49,18,Security - SOC2 Compliance,Security,3
50,18,Discount - Multi-Year Ask,Discount,8
51,18,Objection - Missing Feature,Objection,4
52,19,Risk - Champion Leaving,Risk,8
53,19,Discount - End of Quarter,Discount,2
54,19,Risk - Legal Blockers,Risk,-7
55,19,Contract Review Started,Buying Signal,2
56,19,Risk - Budget Freeze,Risk,7
57,20,Technical - Performance Requirements,Technical,3
58,20,Risk - No Decision Likely,Risk,2
59,20,Budget - Reallocating Funds,Budget,-6
60,20,Risk - Champion Leaving,Risk,4
61,21,Budget - Reallocating Funds,Budget,5
62,21,Technical - Data Migration Plan,Technical,1
63,21,Risk - Champion Leaving,Risk,6
64,21,Objection - Switching Cost,Objection,7
65,22,Competitor - CompetitorD,Competitor,6
66,22,Objection - Switching Cost,Objection,5
67,22,Objection - Missing Feature,Objection,7
68,22,Objection - Team Adoption Concern,Objection,3
69,22,Objection - Too Complex,Objection,4
70,23,Competitor - Open Source Alternative,Competitor,8
71,24,Technical - SSO / SAML Setup,Technical,5
72,24,Budget - Approved,Budget,8
73,24,Reference Call Requested,Buying Signal,7
74,25,Technical - Performance Requirements,Technical,8
75,25,Reference Call Requested,Buying Signal,3
76,25,Technical - Custom Workflow Needs,Technical,7
77,25,Objection - Switching Cost,Objection,5
78,25,Competitor - CompetitorD,Competitor,5
79,26,Procurement Process Started,Buying Signal,8
80,26,Budget - Approved,Budget,6
81,26,Competitor - Open Source Alternative,Competitor,5
82,26,Pricing - Requested Quote,Pricing,3
83,26,Objection - Switching Cost,Objection,8
84,30,Budget - Needs Approval,Budget,1
85,30,Budget - Approved,Budget,3
86,30,Discount - End of Quarter,Discount,4
87,31,Pricing - Enterprise Tier,Pricing,1
88,31,Budget - Needs Approval,Budget,4
89,32,Objection - Need More Stakeholder Buy-in,Objection,2
90,33,Budget - Reallocating Funds,Budget,3
91,33,Competitor - Open Source Alternative,Competitor,8
92,33,Procurement Process Started,Buying Signal,2
93,33,Reference Call Requested,Buying Signal,6
94,33,Budget - Approved,Budget,8
95,33,Risk - Legal Blockers,Risk,7
96,34,Pricing - Too Expensive Objection,Pricing,7
97,34,Technical - API Integration,Technical,4
98,34,Security - Penetration Testing,Security,1
99,34,Pricing - Compared to Competitor,Pricing,2
100,34,Decision Timeline Confirmed,Buying Signal,7
101,34,Objection - Team Adoption Concern,Objection,1
102,34,POC Requested,Buying Signal,5
103,34,Budget - Freeze Mentioned,Budget,8
104,35,Competitor - CompetitorE,Competitor,5
105,35,Security - SSO Requirement,Security,4
106,35,Budget - Freeze Mentioned,Budget,8
107,35,Competitor - CompetitorC,Competitor,3
108,36,Budget - Freeze Mentioned,Budget,7
109,36,Competitor - CompetitorE,Competitor,2
110,36,Objection - Team Adoption Concern,Objection,7
111,36,Pricing - Too Expensive Objection,Pricing,8
112,39,Risk - Legal Blockers,Risk,3
113,39,Objection - Missing Feature,Objection,6
114,39,Risk - Competitor Evaluation,Risk,1
115,39,Next Steps Discussed,Buying Signal,3
116,39,Budget - Approved,Budget,6
117,39,Pricing - Requested Quote,Pricing,4
118,42,Discount - Competitive Match,Discount,4
119,42,Budget - Needs Approval,Budget,8
120,42,Security - GDPR Compliance,Security,6
121,44,Security - SSO Requirement,Security,1
122,44,Technical - Data Migration Plan,Technical,3
123,44,Objection - Too Complex,Objection,6
124,48,Competitor - CompetitorC,Competitor,5
125,48,Pricing - Requested Quote,Pricing,6
126,49,Budget - Freeze Mentioned,Budget,3
127,49,Objection - Team Adoption Concern,Objection,6
128,49,Discount - Multi-Year Ask,Discount,1
