call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
1,4788,5,2024-12-31T12:00:00,28,Outbound,QBR,Completed,7,0.66,135,5,False
2,3628,14,2023-01-05T13:15:00,57,Outbound,Check-In,Completed,3,0.61,72,8,True
3,1876,11,2023-03-12T10:30:00,46,Inbound,Follow-Up,Rescheduled,1,,,0,False
4,3104,15,2024-08-18T10:15:00,2,Outbound,Technical Deep Dive,Voicemail,1,,,0,False
5,903,7,2030-06-15T10:00:00,58,Outbound,Technical Deep Dive,Completed,6,0.54,206,11,True
6,1621,2,2024-07-02T15:00:00,59,Outbound,Technical Deep Dive,Completed,5,0.32,90,8,True
7,2820,2,2024-07-01T11:00:00,37,Outbound,Negotiation,Completed,3,0.45,71,10,True
8,185,14,2024-06-06T13:45:00,0,Outbound,Negotiation,No Show,1,,,0,False
9,4273,2,2021-08-08T15:30:00,45,Outbound,QBR,Completed,6,0.61,168,18,False
10,1943,14,2024-12-22T14:45:00,0,Inbound,QBR,No Show,1,,,0,False
11,4634,12,2024-06-02T13:30:00,44,Outbound,Discovery,Completed,6,0.45,34,11,False
12,4552,10,2023-05-20T13:00:00,45,Outbound,Follow-Up,Completed,3,0.55,168,5,False
13,2977,3,2024-10-12T13:45:00,52,Inbound,Technical Deep Dive,Completed,6,0.42,93,6,True
14,3746,14,2021-04-30T13:15:00,43,Outbound,Discovery,Completed,3,0.64,109,9,False
15,3351,15,2023-12-04T13:30:00,31,Inbound,QBR,Completed,7,0.59,143,3,False
16,308,15,2024-12-21T10:15:00,39,Outbound,QBR,Completed,7,0.73,294,11,False
17,237,13,2024-02-04T10:00:00,0,Outbound,Check-In,No Show,1,,,0,False
18,3241,8,2023-08-24T16:45:00,47,Inbound,Discovery,Completed,5,0.44,141,14,False
19,2118,15,2024-12-21T12:00:00,26,Inbound,Follow-Up,Completed,6,0.74,112,12,False
20,2601,13,2023-04-17T10:15:00,58,Inbound,Demo,Completed,2,0.59,194,4,False
21,1561,12,2024-12-02T12:00:00,53,Outbound,Follow-Up,Completed,3,0.61,121,9,False
22,1197,14,2024-08-21T14:45:00,39,Outbound,QBR,Completed,2,0.61,253,2,False
23,4842,14,2024-11-06T14:00:00,26,Inbound,Negotiation,Completed,4,0.6,72,3,False
24,3728,11,2024-12-11T14:30:00,54,Outbound,Negotiation,Completed,7,0.49,164,11,True
25,1704,14,2024-11-22T10:00:00,54,Inbound,Technical Deep Dive,Completed,5,1.22,261,9,True
26,2465,15,2024-10-29T12:00:00,43,Outbound,Negotiation,Completed,7,0.74,73,4,False
27,4592,15,2024-11-19T14:30:00,47,Outbound,QBR,Rescheduled,1,,,0,False
28,3259,15,2024-01-03T15:15:00,51,Outbound,Negotiation,Rescheduled,1,,,0,False
29,1613,10,2023-03-02T14:00:00,30,Inbound,Follow-Up,Completed,6,0.44,165,10,True
30,454,8,2024-12-10T14:30:00,47,Outbound,Negotiation,Completed,8,0.73,294,12,True
31,4341,14,2024-07-20T11:00:00,42,Outbound,Negotiation,Completed,2,0.62,121,7,False
32,2240,15,2024-10-10T13:45:00,26,Outbound,Discovery,Completed,2,0.9,194,11,False
33,2269,13,2024-12-29T14:15:00,42,Outbound,Discovery,Completed,7,0.44,80,11,False
34,4151,2,2022-11-10T12:45:00,60,Inbound,Discovery,Completed,5,0.39,237,21,True
35,3943,9,2024-12-27T15:15:00,25,Outbound,Discovery,Completed,2,0.59,183,17,True
36,1578,2,2021-07-02T13:00:00,47,Outbound,Negotiation,Completed,7,0.51,236,18,False
37,3661,8,2023-11-16T11:00:00,38,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
38,3438,7,2022-10-06T09:00:00,31,Inbound,Discovery,Completed,3,0.48,226,20,False
39,4808,2,2024-01-15T12:45:00,39,Inbound,QBR,Completed,2,0.44,133,16,True
40,3864,11,2023-10-02T12:30:00,26,Outbound,Discovery,Completed,8,0.43,87,9,True
41,1974,10,2021-12-11T16:15:00,0,Inbound,QBR,No Show,1,,,0,False
42,2292,9,2024-08-08T09:15:00,43,Inbound,QBR,Completed,6,0.68,181,5,False
43,842,3,2023-06-19T15:00:00,3,Inbound,Negotiation,Voicemail,1,,,0,False
44,1650,1,2024-12-15T16:15:00,35,Outbound,Discovery,Completed,5,0.45,220,4,True
45,2702,14,2023-10-29T08:30:00,34,Outbound,QBR,Rescheduled,1,,,0,False
46,3477,15,2024-11-08T11:45:00,,Inbound,Technical Deep Dive,Completed,8,0.5,219,12,False
47,2400,16,2024-07-15T11:45:00,17,Outbound,Demo,Completed,5,0.8,38,8,False
48,600,16,2023-06-25T13:30:00,47,Outbound,Discovery,Completed,3,1.38,251,11,False
49,4523,6,2024-09-25T13:45:00,54,Outbound,Follow-Up,Completed,7,0.51,226,7,True
50,1907,12,2024-12-07T11:45:00,32,Outbound,Check-In,Completed,8,0.7,202,14,True
51,4989,11,2024-03-06T12:45:00,33,Inbound,Negotiation,Completed,5,0.67,150,4,False
52,3279,8,2024-05-12T14:00:00,26,Outbound,Check-In,Completed,3,0.62,91,14,False
53,357,11,2024-03-26T10:30:00,53,Inbound,QBR,Completed,4,0.47,143,18,True
54,1593,12,2024-07-06T10:15:00,57,Outbound,QBR,Completed,5,0.7,124,15,True
55,3396,7,2024-01-09T13:00:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
56,4976,6,2024-06-23T11:00:00,0,Inbound,QBR,No Show,1,,,0,False
57,4233,7,2024-08-29T10:45:00,45,Inbound,Check-In,Completed,5,0.68,132,9,False
58,881,5,2024-08-01T13:30:00,60,Outbound,Negotiation,Completed,8,0.78,148,10,False
59,4075,1,2023-04-17T12:00:00,18,Outbound,Check-In,Completed,7,0.35,220,21,False
60,2232,16,2024-11-14T15:15:00,19,Outbound,Negotiation,Completed,4,0.42,77,8,False
61,1259,9,2023-08-16T11:30:00,0,Outbound,Check-In,No Show,1,,,0,False
62,240,8,2024-10-31T10:00:00,23,Inbound,Negotiation,Completed,2,0.54,233,14,False
63,762,12,2023-05-29T11:30:00,22,Outbound,Discovery,Completed,7,1.01,92,3,True
64,1695,8,2024-12-24T11:00:00,49,Outbound,Discovery,Completed,3,0.64,89,9,False
65,3954,15,2024-12-27T10:45:00,25,Inbound,Follow-Up,Completed,5,0.43,81,12,False
66,313,12,2030-06-15T10:00:00,31,Outbound,Check-In,Completed,2,0.73,164,6,True
67,4134,14,2021-11-26T11:00:00,,Inbound,Negotiation,Completed,7,0.55,118,6,True
68,3543,7,2023-01-22T13:45:00,41,Outbound,Demo,Completed,4,0.66,133,17,False
69,1242,15,2024-08-23T13:30:00,-24,Outbound,Technical Deep Dive,Completed,3,0.74,117,3,True
70,706,15,2024-12-25T11:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
71,4884,8,2024-09-24T08:30:00,27,Outbound,Check-In,Completed,3,0.67,85,19,False
