campaign_id,name,channel,type,status,cost,start_date,end_date,created_at
1,Paid Social - ABM - Q2 2020,Paid Social,ABM,Active,58319,2020-05-13,2020-09-05,2020-05-09T00:00:00
2,Webinar - Product Launch - Q2 2023,Webinar,Product Launch,Completed,10811,2023-06-19,2023-09-10,2023-06-09T00:00:00
3,FY2023 ABM - Direct Mail,Direct Mail,ABM,Active,9032,2023-08-20,2023-11-02,2023-08-07T00:00:00
4,FY2021 Nurture - Referral,Referral,Nurture,Active,1727,2021-06-08,2021-09-21,2021-05-31T00:00:00
5,FY2024 Brand Awareness - Paid Social,Paid Social,Brand Awareness,Completed,8296,2024-12-02,2025-03-19,2024-11-29T00:00:00
6,FY2023 Event Promotion - Referral,Referral,Event Promotion,Completed,-5164,2023-06-21,2023-08-03,2023-06-17T00:00:00
7,FY2020 Thought Leadership - Referral,Referral,Thought Leadership,Draft,12206,2020-09-30,2020-12-23,2020-09-18T00:00:00
8,FY2022 Nurture - Direct Mail,Direct Mail,Nurture,Completed,34413,2022-04-07,2022-04-17,2022-03-31T00:00:00
9,FY2023 Thought Leadership - Content Syndication,Content Syndication,Thought Leadership,Completed,17123,2023-12-25,2024-01-09,2023-12-19T00:00:00
10,Event - Event Promotion - Q3 2021,Event,Event Promotion,Completed,12570,2021-09-16,2021-12-19,2021-09-12T00:00:00
11,Event - Nurture - Q4 2023,Event,Nurture,Completed,105573,2023-11-28,2024-02-26,2023-11-21T00:00:00
12,FY2020 Thought Leadership - Event,Event,Thought Leadership,Paused,244806,2020-09-20,2020-10-05,2020-09-17T00:00:00
13,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Active,3772,2024-12-30,2025-04-29,2024-12-29T00:00:00
14,Demand Gen Campaign - Webinar,Webinar,Demand Gen,Completed,23559,2020-05-23,2020-07-19,2020-05-17T00:00:00
15,FY2020 Brand Awareness - Paid Social,Paid Social,Brand Awareness,Active,6452,2020-07-29,2020-11-13,2020-07-26T00:00:00
16,ABM Campaign - Paid Search,Paid Search,ABM,Completed,15641,2020-05-05,2020-08-05,2020-04-24T00:00:00
17,FY2021 Product Launch - Referral,Referral,Product Launch,Completed,8222,2021-07-21,2021-08-02,2021-07-20T00:00:00
18,Webinar - Nurture - Q1 2020,Webinar,Nurture,Completed,14002,2020-01-26,2020-03-27,2020-01-12T00:00:00
19,Brand Awareness Campaign - Email,Email,Brand Awareness,Completed,7893,2022-01-14,2022-04-28,2022-01-08T00:00:00
20,FY2021 Thought Leadership - Organic Search,Organic Search,Thought Leadership,Active,715,2021-06-13,2021-07-20,2021-06-06T00:00:00
21,Event Promotion Campaign - Content Syndication,Content Syndication,Event Promotion,Active,39808,2022-12-29,2023-03-20,2022-12-19T00:00:00
22,FY2021 Demand Gen - Webinar,Webinar,Demand Gen,Completed,36842,2021-09-13,2021-10-08,2021-09-03T00:00:00
23,Demand Gen Campaign - Paid Social,Paid Social,Demand Gen,Active,41396,2020-06-23,2020-10-12,2020-06-22T00:00:00
24,Email - Brand Awareness - Q3 2021,Email,Brand Awareness,Completed,10671,2021-09-09,2021-12-20,2021-08-29T00:00:00
25,Paid Social - Product Launch - Q3 2022,Paid Social,Product Launch,Completed,21287,2022-08-03,2022-11-12,2022-07-20T00:00:00
26,Thought Leadership Campaign - Paid Search,Paid Search,Thought Leadership,Completed,48824,2020-11-04,2020-12-19,2020-11-02T00:00:00
27,FY2021 Brand Awareness - Email,Email,Brand Awareness,Draft,8369,2021-12-11,2022-02-08,2021-12-03T00:00:00
28,Email - Event Promotion - Q1 2023,Email,Event Promotion,Active,4526,2023-01-25,2023-03-30,2023-01-21T00:00:00
29,FY2024 Thought Leadership - Paid Search,Paid Search,Thought Leadership,Completed,42368,2024-11-09,2025-02-19,2024-11-01T00:00:00
30,Product Launch Campaign - Paid Search,Paid Search,Product Launch,Completed,37230,2020-01-25,2020-02-26,2020-01-24T00:00:00
31,FY2024 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Paused,3368,2024-03-26,2024-04-08,2024-03-18T00:00:00
32,Content Syndication - Nurture - Q1 2024,Content Syndication,Nurture,Completed,17891,2024-03-29,2024-06-25,2024-03-16T00:00:00
33,FY2021 Nurture - Direct Mail,Direct Mail,Nurture,Completed,36159,2021-06-11,2021-08-23,2021-06-08T00:00:00
34,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Completed,11465,2023-03-15,2023-06-25,2023-03-13T00:00:00
35,Nurture Campaign - Email,Email,Nurture,Draft,1246,2022-11-03,2023-03-02,2022-10-23T00:00:00
36,Paid Search - ABM - Q3 2020,Paid Search,ABM,Active,14968,2020-08-05,2020-08-12,2020-08-03T00:00:00
37,Referral - ABM - Q4 2024,Referral,ABM,Active,2384,2024-11-28,2025-02-20,2024-11-15T00:00:00
38,Organic Search - Nurture - Q2 2020,Organic Search,Nurture,Paused,1485,2020-04-10,2020-05-07,2020-04-07T00:00:00
39,FY2024 Brand Awareness - Webinar,Webinar,Brand Awareness,Active,27165,2024-07-15,2024-09-08,2024-07-06T00:00:00
40,FY2020 Nurture - Webinar,Webinar,Nurture,Completed,36478,2020-03-04,2020-06-04,2020-02-28T00:00:00
41,FY2024 Demand Gen - Event,Event,Demand Gen,Active,95165,2024-03-06,2024-04-01,2024-02-24T00:00:00
42,FY2020 Nurture - Webinar,Webinar,Nurture,Active,14165,2020-04-25,2020-06-02,2020-04-17T00:00:00
43,Partner - ABM - Q2 2022,Partner,ABM,Draft,9629,2022-06-06,2022-08-10,2022-06-04T00:00:00
44,Brand Awareness Campaign - Paid Search,Paid Search,Brand Awareness,Completed,80323,2024-08-11,2024-11-05,2024-08-03T00:00:00
