contact_role_id,contact_id,opp_id,role,is_primary
1,179,1,Economic Buyer,True
2,200,2,Technical Evaluator,False
3,787,2,Champion,True
4,469,3,Executive Sponsor,True
5,1839,4,Economic Buyer,True
6,186,4,Champion,True
7,664,5,Coach,False
8,2430,7,Champion,True
9,53,8,Technical Evaluator,False
10,725,8,End User,False
11,496,1,Coach,False
12,2418,1,Technical Evaluator,False
13,2313,10,Technical Evaluator,False
14,2552,11,Champion,True
15,2227,12,Technical Evaluator,False
16,1248,12,Economic Buyer,True
17,2908,13,Champion,True
18,2036,13,Economic Buyer,True
19,2535,13,End User,False
20,394,14,End User,False
21,492,15,Champion,True
22,2603,15,Technical Evaluator,False
23,2307,15,End User,False
24,2485,16,Technical Evaluator,False
25,1263,17,End User,False
26,845,17,Economic Buyer,True
27,425,17,Executive Sponsor,True
28,2157,18,Champion,True
29,2188,18,Coach,False
30,1963,19,Blocker,False
31,432,19,Champion,True
32,2828,20,Economic Buyer,True
33,1235,20,Technical Evaluator,False
34,427,21,Economic Buyer,True
35,940,22,Technical Evaluator,False
36,2717,23,Technical Evaluator,False
37,1033,23,Blocker,False
38,967,24,Technical Evaluator,False
39,2138,24,Legal Reviewer,False
40,1827,25,Champion,True
41,2362,25,Legal Reviewer,False
42,915,25,Technical Evaluator,False
43,329,26,Blocker,False
44,85,26,Legal Reviewer,False
45,2343,27,Champion,True
46,689,28,Legal Reviewer,False
47,2657,29,Technical Evaluator,False
48,2946,30,Executive Sponsor,True
49,2848,31,Champion,True
50,1369,31,Legal Reviewer,False
51,2706,31,End User,False
52,2914,32,Champion,True
53,1802,32,End User,False
54,206,32,Economic Buyer,True
55,2347,33,Executive Sponsor,True
56,412,33,Coach,False
57,1823,34,Technical Evaluator,False
58,2113,34,Coach,False
59,1284,35,Champion,True
60,1414,35,Coach,False
61,2986,36,Blocker,False
62,1157,36,Champion,True
63,2798,37,Technical Evaluator,False
64,2055,38,Economic Buyer,True
65,2498,40,Executive Sponsor,True
66,2673,41,Coach,False
67,1789,42,Economic Buyer,True
68,747,43,Blocker,False
69,2116,43,Champion,True
70,616,43,Economic Buyer,True
71,1220,45,Technical Evaluator,False
72,74,46,End User,False
73,149,46,Champion,True
74,1067,47,Technical Evaluator,False
75,2089,48,Legal Reviewer,False
76,1891,49,Coach,False
77,436,50,Technical Evaluator,False
78,802,50,Champion,True
79,386,51,Champion,True
80,1940,51,End User,False
81,1335,52,Technical Evaluator,False
82,931,53,Technical Evaluator,False
83,1085,54,Champion,True
84,1150,55,Technical Evaluator,False
85,1054,56,Technical Evaluator,False
86,477,57,Blocker,False
87,1612,57,Legal Reviewer,False
88,959,58,Coach,False
89,420,58,Technical Evaluator,False
90,1641,58,Champion,True
91,1854,58,Economic Buyer,True
92,542,59,Executive Sponsor,True
93,572,59,Technical Evaluator,False
94,1569,60,Economic Buyer,True
95,38,61,End User,False
96,1830,62,End User,False
97,2292,63,Legal Reviewer,False
98,2301,63,Champion,True
99,1523,64,Technical Evaluator,False
100,2799,64,Legal Reviewer,False
101,1270,65,End User,False
102,2349,65,Champion,True
103,1059,66,Economic Buyer,True
104,1763,66,Legal Reviewer,False
105,1672,66,Executive Sponsor,True
106,2339,67,Executive Sponsor,True
107,338,68,Technical Evaluator,False
108,536,69,Coach,False
109,1954,69,Champion,True
110,567,70,End User,False
111,62,72,Technical Evaluator,False
112,2448,73,Blocker,False
113,1563,73,Coach,False
114,2960,74,Coach,False
115,1950,74,Blocker,False
116,1598,75,Technical Evaluator,False
117,2157,76,Economic Buyer,True
118,2188,76,Champion,True
119,1292,77,Technical Evaluator,False
120,2238,78,Economic Buyer,True
121,522,78,End User,False
122,493,79,Technical Evaluator,False
123,1798,80,Technical Evaluator,False
124,2840,81,Legal Reviewer,False
125,429,81,Economic Buyer,True
126,2981,82,Legal Reviewer,False
127,2062,82,Technical Evaluator,False
128,641,82,Champion,True
129,2528,82,Economic Buyer,True
130,1357,83,Legal Reviewer,False
131,2110,84,Champion,True
132,2135,85,End User,False
133,1384,85,Champion,True
134,337,85,Blocker,False
135,1961,86,Champion,True
136,853,86,End User,False
137,485,86,Technical Evaluator,False
138,358,87,Technical Evaluator,False
139,1447,87,Economic Buyer,True
140,1780,88,Legal Reviewer,False
141,1572,88,Champion,True
142,1550,89,Economic Buyer,True
143,1078,90,Executive Sponsor,True
144,66,90,Economic Buyer,True
145,81,3,Technical Evaluator,False
146,33,3,Champion,True
147,1276,3,End User,False
148,1585,3,Economic Buyer,True
149,1852,93,Coach,False
150,726,94,End User,False
151,1112,94,Legal Reviewer,False
152,2086,94,Technical Evaluator,False
153,356,95,Technical Evaluator,False
154,808,96,Technical Evaluator,False
155,2909,97,Champion,True
156,2136,98,Technical Evaluator,False
157,2966,98,Champion,True
158,2517,99,Champion,True
159,283,99,Legal Reviewer,False
160,2022,100,Technical Evaluator,False
161,253,101,Technical Evaluator,False
162,1209,101,Legal Reviewer,False
163,1452,102,Champion,True
164,1161,103,End User,False
165,2156,104,Champion,True
166,2887,104,Technical Evaluator,False
167,2324,104,Blocker,False
168,1826,105,Executive Sponsor,True
169,1278,105,Economic Buyer,True
170,2462,106,Blocker,False
171,660,106,Legal Reviewer,False
172,587,107,End User,False
173,2085,108,End User,False
174,1327,108,Economic Buyer,True
175,2026,109,Blocker,False
176,906,110,Champion,True
177,1175,110,Coach,False
178,2202,110,Technical Evaluator,False
179,2095,110,Blocker,False
180,283,111,Champion,True
181,2502,112,Blocker,False
182,175,113,Blocker,False
183,155,115,Technical Evaluator,False
184,2573,116,Legal Reviewer,False
185,1502,117,Executive Sponsor,True
186,1645,118,Champion,True
187,446,118,Economic Buyer,True
188,2416,119,Blocker,False
189,2359,120,Technical Evaluator,False
190,774,121,Champion,True
191,450,121,Blocker,False
192,571,121,End User,False
193,676,122,Technical Evaluator,False
194,1809,123,Champion,True
195,1513,123,Coach,False
196,1161,124,Technical Evaluator,False
197,1690,125,Champion,True
198,1362,126,Blocker,False
199,1991,126,Technical Evaluator,False
200,597,126,Champion,True
201,2463,127,Legal Reviewer,False
202,413,127,Economic Buyer,True
203,131,127,Champion,True
204,2562,128,Economic Buyer,True
205,2728,128,End User,False
206,695,128,Champion,True
207,2449,129,Legal Reviewer,False
208,549,130,Executive Sponsor,True
209,1303,130,Blocker,False
210,2918,130,Economic Buyer,True
211,77,131,Technical Evaluator,False
212,542,132,Economic Buyer,True
213,572,132,Technical Evaluator,False
214,2920,133,Legal Reviewer,False
215,2498,134,Economic Buyer,True
216,1050,135,End User,False
217,1793,136,Coach,False
218,1382,137,Champion,True
219,2180,138,Coach,False
220,1425,138,Economic Buyer,True
221,1344,139,Executive Sponsor,True
222,674,139,Legal Reviewer,False
223,2077,139,Coach,False
224,2013,140,Technical Evaluator,False
225,2750,140,Economic Buyer,True
226,1136,140,Executive Sponsor,True
227,2638,141,Technical Evaluator,False
228,2076,142,Coach,False
229,762,143,Champion,True
230,1479,143,Technical Evaluator,False
231,1945,144,Champion,True
232,2099,145,Champion,True
233,2954,147,Champion,True
234,2310,147,Legal Reviewer,False
235,261,147,Coach,False
236,2819,84,Coach,False
237,1394,84,Technical Evaluator,False
238,58,149,Champion,True
239,1682,150,Coach,False
240,1195,150,Technical Evaluator,False
241,2682,151,Economic Buyer,True
242,52,152,Champion,True
243,2262,152,Coach,False
244,2946,153,Blocker,False
245,2804,154,Technical Evaluator,False
246,1003,155,Blocker,False
247,250,156,Technical Evaluator,False
248,2604,156,Champion,True
249,180,156,Coach,False
250,2139,157,Champion,True
251,1040,157,Economic Buyer,True
252,2788,158,Technical Evaluator,False
253,265,159,Technical Evaluator,False
254,1754,4,End User,False
255,852,4,Technical Evaluator,False
256,2721,161,Executive Sponsor,True
257,1148,161,Champion,True
258,326,162,Technical Evaluator,False
259,2930,162,Champion,True
260,1199,162,Blocker,False
261,701,162,Legal Reviewer,False
262,1177,163,Executive Sponsor,True
263,867,164,Economic Buyer,True
264,540,165,Technical Evaluator,False
265,1740,165,Economic Buyer,True
266,2548,165,Champion,True
267,1997,166,Technical Evaluator,False
268,1200,166,Economic Buyer,True
269,1712,167,Technical Evaluator,False
270,864,168,Legal Reviewer,False
271,2596,169,Technical Evaluator,False
272,2250,170,End User,False
273,1063,170,Coach,False
274,2176,171,Coach,False
275,2824,171,End User,False
276,2184,172,End User,False
277,947,172,Technical Evaluator,False
278,2378,172,Champion,True
279,710,173,Technical Evaluator,False
280,2973,173,Legal Reviewer,False
281,2007,75,End User,False
282,1115,75,Blocker,False
283,536,64,Technical Evaluator,False
284,1954,64,Economic Buyer,True
285,998,64,Champion,True
286,150,176,Coach,False
287,79,177,End User,False
288,675,177,Champion,True
289,1347,178,End User,False
290,1917,179,Technical Evaluator,False
291,280,180,Champion,True
292,1623,181,Champion,True
293,2404,182,End User,False
294,1660,182,Executive Sponsor,True
295,184,183,Technical Evaluator,False
296,2835,183,Economic Buyer,True
297,1990,184,Coach,False
298,2835,185,End User,False
299,1112,186,Champion,True
300,719,188,Coach,False
301,2443,188,Technical Evaluator,False
302,69,188,Champion,True
303,1558,189,Technical Evaluator,False
304,2655,189,Executive Sponsor,True
305,1203,190,Executive Sponsor,True
306,338,191,Technical Evaluator,False
307,1546,192,Economic Buyer,True
308,869,192,Champion,True
309,1602,193,Blocker,False
310,624,193,Economic Buyer,True
311,1886,193,Champion,True
312,1195,194,Champion,True
313,179,195,Technical Evaluator,False
314,2967,195,Economic Buyer,True
315,1995,196,Blocker,False
316,1010,79,End User,False
317,1711,198,End User,False
318,2145,199,Coach,False
319,1028,200,Economic Buyer,True
320,518,201,Champion,True
321,113,202,End User,False
322,2699,204,Economic Buyer,True
323,773,204,Blocker,False
324,2747,205,Champion,True
325,840,205,Technical Evaluator,False
326,2683,207,Champion,True
327,2383,209,Coach,False
328,41,210,Technical Evaluator,False
329,2296,210,Champion,True
330,812,210,Blocker,False
331,2246,211,Economic Buyer,True
332,2683,211,Coach,False
333,1277,211,Technical Evaluator,False
334,1933,211,Legal Reviewer,False
335,1716,212,Technical Evaluator,False
336,2360,213,Champion,True
337,2346,213,End User,False
338,1906,213,Technical Evaluator,False
339,1548,214,Champion,True
340,2568,214,Economic Buyer,True
341,364,215,Champion,True
342,1833,216,Executive Sponsor,True
343,1110,217,End User,False
344,2634,217,Executive Sponsor,True
345,1618,217,Technical Evaluator,False
346,2761,218,Champion,True
347,1425,219,Coach,False
348,433,220,End User,False
349,2123,221,Economic Buyer,True
350,952,222,Champion,True
351,2540,222,Economic Buyer,True
