activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
1,4907,39,Email Open,2024-07-27T20:08:00,
2,2685,87,Email Open,2021-07-31T08:55:00,
3,5251,,Page Visit,2021-01-08T18:19:00,linkedin
4,1988,200,Form Fill,2024-06-14T02:25:00,
5,3240,48,Email Open,2023-01-01T21:55:00,
6,1986,60,Page Visit,2021-04-13T23:15:00,referral
7,989,38,Form Fill,2020-04-14T07:26:00,referral
8,7572,130,Webinar Attended,2024-12-30T00:00:00,
9,5846,62,Content Download,2022-01-21T04:12:00,
10,5923,31,Ad Click,2024-04-08T08:04:00,linkedin
11,6411,,Email Open,2024-09-28T09:32:00,
12,1457,98,Form Fill,2023-03-10T18:51:00,linkedin
13,6375,14,Page Visit,2020-06-21T12:27:00,linkedin
14,7587,183,Email Open,2030-03-15T14:30:00,
15,3540,149,Page Visit,2024-03-14T10:40:00,twitter
16,2097,177,Content Download,2021-02-20T16:00:00,
17,372,156,,2030-03-15T14:30:00,
18,5698,197,Page Visit,2022-10-24T11:45:00,twitter
19,5676,19,Ad Click,2022-04-16T22:00:00,linkedin
20,7901,57,Email Open,2030-03-15T14:30:00,
21,3620,168,Email Open,2024-01-21T23:41:00,
22,2777,185,Ad Click,2022-05-20T09:36:00,facebook
23,4751,12,Page Visit,2020-10-05T12:23:00,twitter
24,6754,138,Content Download,2024-08-19T07:54:00,
25,4834,40,Webinar Registration,2020-03-17T15:47:00,
26,5933,151,Content Download,2024-08-29T05:51:00,
27,462,172,Ad Click,2022-06-27T13:07:00,facebook
28,7359,35,Email Click,2023-01-10T15:40:00,
29,497,161,Email Bounce,2024-08-23T04:33:00,
30,1520,36,Email Open,2020-08-10T03:21:00,
31,5106,123,Content Download,2020-02-11T07:55:00,
32,7974,39,Email Bounce,2024-07-26T12:31:00,
33,7578,150,Form Fill,2020-08-02T11:06:00,
34,263,165,Unsubscribe,2020-10-15T17:40:00,
35,2124,21,Ad Click,2023-02-19T17:23:00,linkedin
36,5846,54,Email Open,2022-02-07T18:58:00,
37,7307,,Email Click,2022-04-27T12:14:00,
38,2383,67,Email Open,2020-04-18T16:39:00,
39,271,54,Webinar Registration,2022-02-12T03:10:00,
40,519,115,,2023-10-08T07:23:00,
41,3786,60,Unsubscribe,2021-03-28T06:54:00,
42,1512,84,Email Bounce,2024-01-16T07:01:00,
43,7356,32,Ad Click,2024-06-23T10:27:00,google
44,5956,59,Webinar Attended,2021-12-16T18:03:00,
45,5785,49,Form Fill,2024-10-07T05:24:00,referral
46,7803,177,Webinar Registration,2021-02-02T18:08:00,
47,1122,153,Page Visit,2024-08-02T14:57:00,google
48,4605,148,Form Fill,2021-09-10T16:06:00,google
49,7278,9,Content Download,2024-01-08T03:04:00,
50,527,52,Content Download,2023-12-18T04:31:00,
51,2068,64,Page Visit,2023-08-22T03:46:00,twitter
52,6851,74,Email Open,2024-08-11T03:46:00,
53,3262,118,Email Open,2023-11-09T04:33:00,
54,5319,12,Email Open,2020-09-25T21:40:00,
55,6518,190,Page Visit,2024-08-03T02:24:00,referral
56,1834,43,Email Open,2022-07-30T03:04:00,
57,7709,1,Content Download,2020-06-02T04:27:00,
58,5400,93,Content Download,2024-02-01T22:25:00,
59,3414,76,Content Download,2024-06-21T03:41:00,
60,1369,17,Form Fill,2021-07-21T11:16:00,direct
61,2727,198,Form Fill,2023-12-13T01:11:00,facebook
62,7830,141,Webinar Attended,2023-01-16T21:39:00,
63,6831,78,Page Visit,2023-08-13T19:54:00,direct
64,2733,,Form Fill,2023-01-25T14:06:00,facebook
65,3091,2,Page Visit,2023-08-13T15:22:00,facebook
66,2515,186,Email Bounce,2024-10-14T20:14:00,
67,7992,138,Page Visit,2024-08-31T13:11:00,facebook
68,7107,2,Webinar Attended,2023-07-30T20:30:00,
69,6684,181,Email Open,2020-04-02T04:26:00,
70,4198,76,Unsubscribe,2024-06-27T10:46:00,
71,4349,176,Email Open,2021-08-18T09:05:00,
72,7596,183,Webinar Registration,2022-09-22T10:08:00,
73,1920,42,Form Fill,2020-05-24T14:02:00,direct
74,6279,17,Content Download,2021-07-23T09:13:00,
75,6238,157,Page Visit,2021-09-18T12:36:00,facebook
76,82,74,Webinar Registration,2024-08-09T18:45:00,
77,1325,180,Email Open,2024-12-03T13:58:00,
78,5278,178,Email Open,2024-02-18T09:57:00,
79,2595,172,Email Open,2022-05-24T21:55:00,
80,5762,90,Email Click,2021-12-07T12:45:00,
81,728,97,Email Open,2021-10-18T07:48:00,
82,4513,192,Ad Click,2021-02-22T06:16:00,google
83,6661,8,Content Download,2022-04-08T14:20:00,
84,7686,37,Page Visit,2024-12-11T21:56:00,facebook
85,1276,197,Form Fill,2022-10-23T13:55:00,referral
86,2743,26,Page Visit,2020-11-21T10:23:00,referral
87,1135,183,Form Fill,2022-09-13T03:44:00,twitter
88,5182,77,Email Open,2023-11-30T01:10:00,
89,5876,29,Form Fill,2024-12-18T00:00:00,linkedin
90,7864,,Ad Click,2023-12-09T00:29:00,linkedin
91,6149,179,Email Click,2022-01-09T02:32:00,
92,2399,64,Email Open,2023-09-20T19:21:00,
93,5741,189,Page Visit,2021-09-12T13:40:00,facebook
94,3775,118,,2024-02-07T06:27:00,
95,1844,141,Email Open,2023-04-27T08:39:00,
96,4779,120,Email Click,2020-09-15T03:35:00,
97,1895,73,Ad Click,2022-11-01T12:48:00,
98,4414,58,Webinar Registration,2023-07-10T01:28:00,
99,3105,19,Page Visit,2022-04-17T22:13:00,facebook
100,7967,185,Form Fill,2022-05-20T05:09:00,direct
101,2647,53,Email Bounce,2024-01-24T06:20:00,
102,5378,75,Email Open,2024-10-03T19:56:00,
103,7486,101,Form Fill,2021-05-27T01:34:00,facebook
104,6207,149,Email Click,2024-03-20T22:39:00,
105,6347,32,Webinar Registration,2024-06-08T15:26:00,
106,84,73,Content Download,2022-11-02T13:07:00,
107,665,133,Ad Click,2022-03-31T17:34:00,google
108,6710,122,Email Open,2020-09-01T03:23:00,
109,900,69,Email Open,2021-07-29T08:00:00,
110,2000,16,Email Open,2020-06-02T10:10:00,
111,6102,38,Email Open,2020-05-01T03:22:00,
112,865,107,Form Fill,2022-09-17T14:57:00,direct
113,4086,21,Email Click,2023-03-04T06:45:00,
114,3860,48,Webinar Registration,2023-01-26T03:24:00,
115,5649,177,Email Bounce,2021-01-12T06:43:00,
