opp_id,account_id,owner_id,name,stage,amount,close_date,created_date,lead_source,forecast_category,is_won,is_closed,competitor,loss_reason,days_in_stage,next_step,opportunity_type,created_at
1,607,9,Horizon Labs - Platform Deal,Prospecting,95928,2025-02-16,2024-12-29,Event,Pipeline,False,False,CompetitorC,,5,Technical review,New Business,2024-12-29T00:00:00
2,828,1,Quantum Systems - New Business,Negotiation,19424,2022-12-31,2022-11-13,Inbound - Web,Commit,False,False,CompetitorB,,18,Schedule demo,New Business,2022-11-13T00:00:00
3,94,11,Pacific Dynamics - New Business,Prospecting,165968,2025-02-12,2024-12-14,Event,Pipeline,False,False,CompetitorB,,4,,New Business,2024-12-14T00:00:00
4,104,1,Optima Labs - Platform Deal,Proposal,12993,2025-04-20,2024-09-16,Outbound - AE,Best Case,False,False,CompetitorA,,3,Reference call,New Business,2024-09-16T00:00:00
5,128,13,Pinnacle Inc - New Business,Prospecting,40375,2025-01-29,2024-11-03,Event,Pipeline,False,False,,,65,POC setup,New Business,2024-11-03T00:00:00
6,912,6,Nexus Networks - Platform Deal,Qualification,220331,2025-02-03,2024-12-20,Outbound - AE,Best Case,False,False,,,56,,New Business,2024-12-20T00:00:00
7,478,6,Elevate Corp - Initial License,Qualification,67661,2022-07-05,2021-10-21,Outbound - AE,Best Case,False,False,,,40,Schedule demo,New Business,2021-10-21T00:00:00
8,554,11,Pacific Group - Platform Deal,Negotiation,57719,2025-02-07,2024-10-21,Product-Led,Commit,False,False,Open Source Alternative,,69,Reference call,New Business,2024-10-21T00:00:00
1,664,3,Zenith Dynamics - Initial License,Discovery,133093,2023-09-04,2023-07-19,Webinar,Pipeline,False,False,,,13,Legal review,New Business,2023-07-19T00:00:00
10,171,2,Nexus Group - Platform Deal,Discovery,889816,2024-10-21,2024-02-10,Inbound - Web,Pipeline,False,False,CompetitorA,,28,Technical review,New Business,2024-02-10T00:00:00
11,643,6,Catalyst Networks - Platform Deal,Discovery,404494,2023-09-07,2023-04-14,Webinar,Pipeline,False,False,Open Source Alternative,,40,Technical review,New Business,2023-04-14T00:00:00
12,702,16,Pacific Systems - Platform Deal,Qualification,26642,2025-06-18,2024-12-23,Event,Best Case,False,False,CompetitorC,,18,Technical review,New Business,2024-12-23T00:00:00
13,192,16,Apex Services - New Business,Closed Won,84514,2024-12-31,2024-10-26,Product-Led,Closed,True,True,CompetitorD,,32,,New Business,2024-10-26T00:00:00
14,920,6,Velocity Platforms - Initial License,Prospecting,196732,2024-09-25,2024-07-28,Inbound - Content,Pipeline,False,False,,,11,Legal review,New Business,2024-07-28T00:00:00
15,133,10,Synergy Enterprises - Initial License,Proposal,9494,2022-09-14,2022-09-16,Inbound - Content,Best Case,False,False,CompetitorA,,40,POC setup,New Business,2022-09-16T00:00:00
16,274,10,Optima Dynamics - Platform Deal,Closed Lost,868454,2024-06-15,2024-03-12,Webinar,Omitted,False,True,CompetitorA,Lost to Status Quo,8,,New Business,2024-03-12T00:00:00
17,674,12,Horizon Partners - Initial License,Negotiation,5656,2021-08-22,2021-02-19,Webinar,Commit,False,False,,,69,Executive alignment,New Business,2021-02-19T00:00:00
18,542,16,Apex Networks - Initial License,Proposal,15613,2024-10-26,2024-06-12,Product-Led,Best Case,False,False,,,40,,New Business,2024-06-12T00:00:00
19,975,3,Quantum Holdings - Initial License,Qualification,34885,2024-11-24,2024-08-04,Inbound - Web,Best Case,False,False,,,36,,New Business,2024-08-04T00:00:00
20,21,6,Vanguard Holdings - New Business,Qualification,111824,2024-05-13,2024-02-25,Inbound - Content,Best Case,False,False,CompetitorB,,37,Send proposal,New Business,2024-02-25T00:00:00
21,356,1,Nova Software - New Business,Closed Lost,842103,2023-12-05,2023-11-21,Event,Omitted,False,True,CompetitorA,Feature Gap,25,,New Business,2023-11-21T00:00:00
22,728,3,Velocity Enterprises - New Business,Prospecting,136198,2024-09-24,2024-08-14,Inbound - Web,Pipeline,False,False,CompetitorE,,36,Technical review,New Business,2024-08-14T00:00:00
23,212,16,Nexus Partners - Initial License,Closed Lost,33144,2024-06-06,2024-05-13,Inbound - Web,Omitted,False,True,CompetitorB,Competitor,4,,New Business,2024-05-13T00:00:00
