event_id,product_user_id,account_id,feature,action,event_timestamp
1,983,668,Analytics,view,2025-02-25T09:15:23
2,1146,7,Workflow Automation,view,2023-07-17T17:51:14
3,656,543,Analytics,share,2024-02-22T13:20:35
4,1919,27,Analytics,view,2025-02-21T23:01:10
5,1141,680,Analytics,view,2024-08-21T05:22:11
6,1880,515,Integrations,view,2023-09-24T13:31:31
7,30,140,Custom Fields,delete,2024-12-26T15:03:08
8,1972,322,Dashboard Builder,view,2025-01-17T13:20:24
9,1437,53,Dashboard Builder,create,2024-05-06T13:39:14
10,1667,919,Alerts,create,2024-12-19T13:47:44
11,1114,413,Workflow Automation,create,2025-02-19T12:36:08
12,1781,238,Alerts,edit,2023-05-15T15:20:16
13,371,980,Workflow Automation,create,2025-01-22T08:02:03
14,1857,288,Reports,view,2024-09-01T07:48:35
15,317,470,Analytics,view,2024-07-05T09:39:44
16,1793,707,Custom Fields,create,2024-07-05T10:25:52
17,1797,13,API,share,2025-01-15T00:17:15
18,1432,461,Data Export,view,2025-02-10T19:03:29
19,419,222,Dashboard Builder,view,2022-09-29T13:41:37
20,41,404,Dashboard Builder,create,2025-01-01T10:59:09
21,551,887,Workflow Automation,view,2023-08-15T17:05:59
22,1428,948,Reports,view,2024-12-27T13:02:03
23,1506,907,Data Export,view,2025-02-21T12:13:45
24,156,576,Dashboard Builder,create,2023-09-18T08:55:34
25,1628,556,Dashboard Builder,create,2023-04-15T16:09:45
26,1380,178,Custom Fields,share,2024-03-15T15:48:41
27,550,727,Alerts,view,2022-02-11T14:58:40
28,1748,348,Reports,view,2025-02-14T12:31:18
29,311,897,User Management,view,2030-03-15T10:00:00
30,1201,137,Custom Fields,create,2025-02-09T07:45:48
31,1311,172,Custom Fields,share,2024-02-06T07:15:29
32,199,481,Analytics,view,2024-08-14T14:06:44
33,549,371,Custom Fields,view,2024-12-18T05:49:02
34,1407,208,Integrations,edit,2024-11-19T11:49:21
35,1990,691,Workflow Automation,view,2025-01-18T09:30:27
