stage_history_id,opp_id,stage,entered_at,exited_at,days_in_stage
1,1,Prospecting,2024-12-29T00:00:00,,
2,2,Prospecting,2022-11-13T00:00:00,2022-11-16T00:00:00,3
3,2,Discovery,2022-11-16T00:00:00,2022-11-29T00:00:00,13
4,2,Qualification,2022-11-29T00:00:00,2022-12-18T00:00:00,19
5,2,Proposal,2022-12-18T00:00:00,2022-12-28T00:00:00,10
6,2,Negotiation,2022-12-28T00:00:00,,
7,3,Prospecting,2024-12-14T00:00:00,,
8,4,Prospecting,2024-09-16T00:00:00,2024-09-25T00:00:00,9
9,4,Discovery,2024-09-25T00:00:00,2024-10-09T00:00:00,14
10,4,Qualification,2024-10-09T00:00:00,2024-10-25T00:00:00,16
11,4,Proposal,2024-10-25T00:00:00,,
12,5,Prospecting,2024-11-03T00:00:00,,
13,6,Prospecting,2024-12-20T00:00:00,2024-12-31T00:00:00,11
14,6,Discovery,2024-12-31T00:00:00,2025-01-17T00:00:00,17
15,6,Qualification,2025-01-17T00:00:00,,
16,7,Prospecting,2021-10-21T00:00:00,2021-11-03T00:00:00,13
17,7,Discovery,2021-11-03T00:00:00,2021-11-22T00:00:00,19
18,7,Qualification,2021-11-22T00:00:00,,
19,8,Prospecting,2024-10-21T00:00:00,2024-10-27T00:00:00,6
20,8,Discovery,2024-10-27T00:00:00,2024-11-18T00:00:00,22
21,8,Qualification,2024-11-18T00:00:00,2024-11-28T00:00:00,10
22,8,Proposal,2024-11-28T00:00:00,2024-12-03T00:00:00,5
23,8,Negotiation,2024-12-03T00:00:00,,
24,1,Prospecting,2023-07-19T00:00:00,2023-08-08T00:00:00,20
25,1,Discovery,2023-08-08T00:00:00,,
26,10,Prospecting,2024-02-10T00:00:00,2024-02-25T00:00:00,15
27,10,Discovery,2024-02-25T00:00:00,,
28,11,Prospecting,2023-04-14T00:00:00,2023-04-21T00:00:00,7
29,11,Discovery,2023-04-21T00:00:00,,
30,12,Prospecting,2024-12-23T00:00:00,2025-01-08T00:00:00,16
31,12,Discovery,2025-01-08T00:00:00,2025-01-26T00:00:00,18
32,12,Qualification,2025-01-26T00:00:00,,
33,13,Prospecting,2024-10-26T00:00:00,2024-10-29T00:00:00,3
34,13,Discovery,2024-10-29T00:00:00,2024-11-23T00:00:00,25
35,13,Qualification,2024-11-23T00:00:00,2024-12-04T00:00:00,11
36,13,Proposal,2024-12-04T00:00:00,2024-12-19T00:00:00,15
37,13,Negotiation,2024-12-19T00:00:00,2024-12-29T00:00:00,10
38,13,Closed Won,2024-12-29T00:00:00,2024-12-29T00:00:00,0
39,14,Prospecting,2024-07-28T00:00:00,,
40,15,Prospecting,2022-09-16T00:00:00,2022-09-25T00:00:00,9
41,15,Discovery,2022-09-25T00:00:00,2022-10-14T00:00:00,19
42,15,Qualification,2022-10-14T00:00:00,2022-10-23T00:00:00,9
43,15,Proposal,2022-10-23T00:00:00,,
44,16,Prospecting,2024-03-12T00:00:00,2024-03-28T00:00:00,16
45,16,Discovery,2024-03-28T00:00:00,2024-04-15T00:00:00,18
46,16,Qualification,2024-04-15T00:00:00,2024-04-24T00:00:00,9
47,16,Proposal,2024-04-24T00:00:00,2024-05-03T00:00:00,9
48,16,Negotiation,2024-05-03T00:00:00,2024-05-27T00:00:00,24
49,16,Closed Won,2024-05-27T00:00:00,2024-06-13T00:00:00,17
50,16,Closed Lost,2024-06-13T00:00:00,2024-06-13T00:00:00,0
51,17,Prospecting,2021-02-19T00:00:00,2021-03-07T00:00:00,16
52,17,Discovery,2021-03-07T00:00:00,2021-04-02T00:00:00,26
53,17,Qualification,2021-04-02T00:00:00,2021-04-10T00:00:00,8
54,17,Proposal,2021-04-10T00:00:00,2021-04-16T00:00:00,6
55,17,Negotiation,2021-04-16T00:00:00,,
56,18,Prospecting,2024-06-12T00:00:00,2024-06-20T00:00:00,8
57,18,Discovery,2024-06-20T00:00:00,2024-07-13T00:00:00,23
58,18,Qualification,2024-07-13T00:00:00,2024-07-27T00:00:00,14
59,18,Proposal,2024-07-27T00:00:00,,
60,19,Prospecting,2024-08-04T00:00:00,2024-08-25T00:00:00,21
61,19,Discovery,2024-08-25T00:00:00,2024-09-11T00:00:00,17
62,19,Qualification,2024-09-11T00:00:00,,
63,20,Prospecting,2024-02-25T00:00:00,2024-03-07T00:00:00,11
64,20,Discovery,2024-03-07T00:00:00,2024-03-25T00:00:00,18
65,20,Qualification,2024-03-25T00:00:00,,
66,21,Prospecting,2023-11-21T00:00:00,2023-11-22T00:00:00,1
67,21,Discovery,2023-11-22T00:00:00,2023-11-25T00:00:00,3
68,21,Qualification,2023-11-25T00:00:00,2023-11-26T00:00:00,1
